S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
0.605743947137799,0.3934693402873666,0.0,0.0,0.0,0.0,0.0,0.0,0.00044953921472501435,0.0,0.0003371733601094107,0.0
0.0,0.605743947137799,0.3934693402873666,0.0,0.0,0.0,0.0,0.0,0.00044953921472501435,0.0,0.0003371733601094107,0.0
0.0,0.0,0.8171574795009605,0.18126924692201818,0.0,0.0,0.0,0.0,0.00044953921472501435,0.0007865610021868807,0.0003371733601094107,0.0
0.0,0.0,0.0,0.605743947137799,0.3934693402873666,0.0,0.0,0.0,0.00044953921472501435,0.0,0.0003371733601094107,0.0
0.0,0.0,0.0,0.0,0.8156972157898407,0.18126924692201818,0.0,0.0,0.00044953921472501435,0.0007865610021868807,0.0003371733601094107,0.0014602637111198469
0.0,0.0,0.0,0.0,0.0,0.8660911871753472,0.1331221002498184,0.0,0.00044953921472501435,0.0,0.0003371733601094107,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.714958036996768,0.28346868942621073,0.00044953921472501435,0.0007865610021868807,0.0003371733601094107,0.0
0.15351827510938587,0.0,0.0,0.0,0.0,0.0,0.0,0.8456950123157797,0.00044953921472501435,0.0,0.0003371733601094107,0.0
0.01652854617838251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9834714538216175,0.0,0.0,0.0
0.0,0.0,0.014184157647595397,0.0,0.0,0.0,0.0,0.0,0.0,0.9858158423524046,0.0,0.0
0.006230509376605298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937694906233947,0.0
0.0,0.0,0.0,0.0,0.048770575499285984,0.0,0.0,0.0,0.0,0.0,0.0,0.951229424500714
