id,type_brick,type,rotation,x,y,z,layer,pallet,dist,start_to_verif,verif_to_dest,dest_to_end,total_time
120,END,4,180,3940,220,750,4,5,4080,5,25,10,40
121,END,4,90,220,565,750,4,6,1887,10,10,17,37
122,BASIC,1,90,220,815,750,4,106,1657,7,12,16,35
123,BASIC,1,90,220,1065,750,4,107,1433,14,13,14,41
124,BASIC,1,90,220,1315,750,4,108,1219,9,11,12,32
125,BASIC,1,90,220,1565,750,4,109,1022,8,11,13,32
128,BASIC,1,90,220,2315,750,4,112,684,11,8,14,33
129,BASIC,1,90,220,2565,750,4,113,726,10,10,13,33
133,BASIC,1,90,220,3565,750,4,117,1417,11,7,21,39
136,BASIC,1,90,220,4315,750,4,120,2105,17,6,9,32
