id,x,y,z,time,delay,type_delay,total_time,dist,time_calc
158,3315,220,1000,33,0,0,33,5443,40.828
142,220,3190,1000,24,0,0,24,2038,30.613
14,220,3190,0,47,0,0,47,2038,30.613
6,220,1190,0,34,62,2,96,3658,35.473
225,3440,220,1750,37,0,0,37,5895,42.184000000000005
97,2565,220,500,42,0,0,42,4625,38.373999999999995
15,220,3440,0,32,0,0,32,2288,31.363
211,95,220,1750,34,0,0,34,2550,32.149
36,95,220,250,37,0,0,37,2172,31.015
152,1815,220,1000,32,0,0,32,3943,36.328
260,440,220,2250,32,0,0,32,3216,34.147
261,690,220,2250,34,0,0,34,3466,34.897
247,1565,220,2000,33,0,0,33,4172,37.015
55,220,1065,250,43,0,0,43,3732,35.695
218,1690,220,1750,32,0,0,32,4145,36.934
10,220,2190,0,42,0,0,42,2658,32.473
141,220,940,1000,24,24,3,48,3908,36.223
248,1815,220,2000,33,0,0,33,4422,37.765
223,2940,220,1750,38,0,0,38,5395,40.684000000000005
173,2690,220,1250,31,0,0,31,4901,39.202000000000005
90,815,220,500,56,0,0,56,2875,33.124
53,220,565,250,39,0,0,39,4232,37.195
139,220,440,1000,30,0,0,30,4408,37.723
47,2690,220,250,48,0,0,48,4767,38.800000000000004
254,3315,220,2000,35,0,0,35,5922,42.265
196,565,220,1500,37,0,0,37,2886,33.157
86,220,3940,500,26,0,0,26,2720,32.659
37,252,220,250,37,0,0,37,2329,31.485999999999997
146,220,4190,1000,24,0,0,24,3038,33.613
231,220,3127,1750,24,0,0,24,2302,31.405
236,220,252,2000,54,0,0,54,5075,39.724000000000004
83,220,3190,500,29,0,0,29,1970,30.409
26,1815,220,0,45,0,0,45,3943,36.328
190,220,690,1500,33,0,0,33,4351,37.552
234,220,3815,1750,27,0,0,27,2990,33.469
195,220,3940,1500,35,0,0,35,2981,33.442
