x,y,z,dist,time,stochastic_delay,total_time,cum_delay
346,4437,7,3910,36,0,36,260
505,840,395,4728,39,0,39,260
140,1723,1896,3959,36,0,36,260
-99,742,2022,4780,39,0,39,260
-61,2025,1381,3180,34,0,34,260
152,4135,2676,4378,38,0,38,260
574,2710,1514,3192,34,0,34,260
294,791,2055,5146,40,0,40,260
99,241,2154,5567,41,0,41,260
560,-77,2549,6631,44,0,44,260
453,4092,1897,4087,37,0,37,260
-90,234,1082,4828,39,0,39,260
232,1515,717,3790,36,0,36,260
335,2697,2048,3276,34,0,34,260
553,1906,931,3758,36,0,36,260
596,3386,1183,3168,34,0,34,260
230,1805,71,3535,35,0,35,260
-2,1923,2702,4186,37,0,37,260
257,850,926,4517,38,0,38,260
-88,4144,1150,3230,34,0,34,260
-60,3705,2060,3291,34,0,34,260
268,2875,1354,2647,32,0,32,260
265,675,1199,4782,39,0,39,260
444,3702,1378,3410,35,0,35,260
127,3869,1,3124,34,0,34,260
-83,4079,56,3110,34,60,94,320
270,3369,2273,3431,35,0,35,320
397,2115,1137,3452,35,0,35,320
-52,2999,2344,2791,33,0,33,320
-17,3389,1746,2824,33,70,103,390
288,2820,13,2593,32,0,32,390
-47,2807,626,2210,31,0,31,390
458,4464,623,3986,36,0,36,390
65,4817,1237,4088,37,0,37,390
115,1445,1177,3854,36,0,36,390
14,96,384,4981,39,0,39,390
537,3515,2029,3678,36,0,36,390
222,1019,55,4317,37,60,97,450
-33,4024,1998,3597,35,0,35,450
551,1260,514,4351,38,0,38,450
258,3382,809,2726,33,0,33,450
422,585,1776,5307,40,0,40,450
-94,3149,1264,2272,31,0,31,450
466,2349,2086,3781,36,0,36,450
-99,2457,2092,3112,34,0,34,450
313,4407,346,3786,36,0,36,450
-81,4189,2332,3942,36,70,106,520
357,668,126,4787,39,0,39,520
552,1204,211,4431,38,0,38,520
583,390,640,5258,40,0,40,520
303,-91,1805,5881,42,0,42,520
175,3601,84,2883,33,0,33,520
569,4402,195,4056,37,20,57,540
18,3755,652,2839,33,0,33,540
171,2630,1389,2810,33,0,33,540
-63,758,1180,4364,38,0,38,540
253,3242,1600,2867,33,0,33,540
588,960,2341,5468,41,0,41,540
-58,540,797,4486,38,0,38,540
-39,919,1785,4517,38,0,38,540
-44,2071,1700,3311,34,70,104,610
-45,1573,946,3497,35,0,35,610
-81,3457,2745,3521,35,0,35,610
510,2393,2495,4070,37,0,37,610
177,4491,754,3746,36,0,36,610
588,1078,1068,4658,38,0,38,610
588,4137,881,3825,36,20,56,630
-96,4819,2502,4681,39,0,39,630
148,1638,2221,4265,37,0,37,630
283,4500,2347,4628,38,0,38,630
598,1332,841,4358,38,0,38,630
222,2543,340,2746,33,0,33,630
114,1813,1588,3667,36,0,36,630
-87,224,1421,4973,39,0,39,630
269,1320,2298,4759,39,0,39,630
358,1050,541,4368,38,0,38,630
283,544,473,4799,39,0,39,630
85,2626,2705,3572,35,0,35,630
329,3087,2468,3349,35,0,35,630
415,3602,1776,3487,35,0,35,630
506,1247,1861,4779,39,0,39,630
355,4551,2638,4967,39,0,39,630
367,2885,1053,2625,32,0,32,630
36,2136,717,2973,33,0,33,630
99,1142,1662,4362,38,0,38,630
-12,3427,1017,2548,32,0,32,630
202,2448,23,2876,33,0,33,630
163,3598,2448,3679,36,0,36,630
177,4687,305,3934,36,0,36,630
211,4864,2292,4880,39,0,39,630
82,4267,1916,3903,36,0,36,630
152,157,908,5101,40,0,40,630
471,2673,1238,3004,34,0,34,630
239,3915,1460,3456,35,0,35,630
276,4716,1453,4291,37,0,37,630
155,4936,1612,4469,38,0,38,630
478,4936,16,4538,38,0,38,630
235,4423,1014,3790,36,0,36,630
