id,type_brick,type,rotation,x,y,z,layer,pallet,dist,start_to_verif,verif_to_dest,dest_to_end,total_time
119,BASIC,1,180,3690,220,750,4,105,3872,8,16,33,57
120,END,4,180,3940,220,750,4,5,4080,7,24,10,41
121,END,4,90,220,565,750,4,6,1887,8,12,16,36
122,BASIC,1,90,220,815,750,4,106,1657,6,14,15,35
123,BASIC,1,90,220,1065,750,4,107,1433,15,12,14,41
124,BASIC,1,90,220,1315,750,4,108,1219,7,13,12,32
125,BASIC,1,90,220,1565,750,4,109,1022,8,12,13,33
126,BASIC,1,90,220,1815,750,4,110,853,8,11,14,33
127,BASIC,1,90,220,2065,750,4,111,732,9,11,11,31
128,BASIC,1,90,220,2315,750,4,112,684,9,10,13,32
129,BASIC,1,90,220,2565,750,4,113,726,11,8,13,32
131,BASIC,1,90,220,3065,750,4,115,1009,11,8,11,30
132,BASIC,1,90,220,3315,750,4,116,1204,12,7,12,31
133,BASIC,1,90,220,3565,750,4,117,1417,10,8,19,37
136,BASIC,1,90,220,4315,750,4,120,2105,17,7,10,34
