x,y,z,time,stochastic_delay,total_time
510,2393,2495,36,0,36
177,4491,754,40,0,40
588,1078,1068,37,0,37
588,4137,881,38,0,38
-96,4819,2502,43,0,43
148,1638,2221,36,0,36
283,4500,2347,41,0,41
598,1332,841,36,0,36
222,2543,340,35,0,35
114,1813,1588,34,0,34
-87,224,1421,41,120,161
269,1320,2298,37,0,37
358,1050,541,37,0,37
283,544,473,40,0,40
85,2626,2705,37,0,37
329,3087,2468,37,0,37
415,3602,1776,36,0,36
506,1247,1861,36,0,36
355,4551,2638,42,0,42
367,2885,1053,33,0,33
36,2136,717,34,0,34
99,1142,1662,37,0,37
-12,3427,1017,35,0,35
202,2448,23,36,0,36
163,3598,2448,38,0,38
177,4687,305,41,0,41
211,4864,2292,42,0,42
82,4267,1916,39,0,39
152,157,908,41,0,41
471,2673,1238,32,0,32
239,3915,1460,37,0,37
276,4716,1453,40,0,40
155,4936,1612,42,0,42
478,4936,16,43,0,43
235,4423,1014,39,0,39
-84,509,2733,41,0,41
570,4946,430,42,0,42
247,1680,1335,34,0,34
-42,297,1855,41,0,41
181,222,239,41,0,41
521,3702,860,36,0,36
-91,4398,2138,40,0,40
538,1706,731,34,0,34
587,4382,1645,39,0,39
295,1505,2724,38,0,38
198,1371,1819,36,0,36
589,3109,2627,37,0,37
-22,2671,976,33,0,33
502,-15,763,41,0,41
203,813,632,38,0,38
313,3189,1328,34,0,34
511,1208,2338,38,0,38
157,2971,675,34,0,34
232,3291,2741,38,0,38
-74,4788,1953,41,0,41
173,2264,351,35,0,35
425,3479,422,36,0,36
38,4043,885,38,0,38
577,88,34,42,0,42
325,906,1490,37,0,37
527,4193,2170,39,0,39
199,113,2438,42,0,42
74,959,2222,39,0,39
21,3009,215,36,0,36
571,531,2676,41,0,41
189,2734,545,34,0,34
-75,4345,2735,41,0,41
-87,593,1554,39,0,39
-46,1283,1908,37,0,37
522,2915,218,35,0,35
295,1065,2271,38,0,38
513,4913,1994,42,0,42
418,251,879,40,0,40
299,-92,2234,42,0,42
597,3933,693,37,0,37
579,802,985,38,0,38
398,4558,1193,40,0,40
276,2034,2069,35,0,35
471,3035,1495,33,0,33
333,4671,1824,41,0,41
515,3236,1773,35,0,35
156,3672,1292,36,0,36
163,4671,2462,42,0,42
168,922,2712,40,0,40
590,3848,1867,37,0,37
-62,-93,1683,42,0,42
542,2274,1632,32,0,32
16,3234,2246,36,0,36
248,3717,318,37,0,37
-69,2044,2453,37,0,37
112,3535,2014,37,0,37
588,252,1105,40,0,40
14,1074,478,38,0,38
486,1739,2131,35,0,35
-3,617,338,40,0,40
316,613,931,39,0,39
504,3693,2358,38,0,38
334,2513,2702,37,0,37
505,1908,248,35,0,35
-71,3583,155,38,0,38
184,712,1586,38,0,38
203,3044,1172,33,0,33
119,594,60,40,0,40
175,2926,1855,34,0,34
320,1959,2748,37,0,37
334,4908,2507,43,0,43
249,2292,2453,36,0,36
-62,4558,423,41,0,41
533,1428,1623,35,0,35
128,1826,2453,37,0,37
126,1605,444,36,0,36
-31,1304,1379,36,0,36
74,1133,204,38,0,38
-88,1291,273,38,0,38
4,2597,2304,36,0,36
81,4152,259,39,0,39
287,3028,221,36,0,36
376,2142,190,35,0,35
278,545,2118,40,0,40
205,3065,2728,38,0,38
581,4537,2376,41,0,41
-61,4287,1558,39,0,39
552,981,2685,39,0,39
595,2145,726,33,0,33
194,1853,673,34,0,34
212,3915,1223,37,0,37
270,160,1992,41,0,41
590,2724,1923,34,0,34
345,4131,2414,39,0,39
40,4647,2245,41,0,41
573,-73,243,42,0,42
344,1357,1230,35,0,35
574,3674,1157,36,0,36
141,3839,1949,37,0,37
417,2092,2541,36,0,36
-83,4912,554,42,0,42
305,2188,1703,33,0,33
-95,3126,2001,36,0,36
-98,467,2107,40,0,40
90,3198,630,35,0,35
376,1064,2056,38,0,38
-45,1760,2304,37,0,37
270,3007,2039,35,0,35
112,125,1246,41,0,41
334,1476,2079,36,0,36
264,4897,202,42,0,42
410,3780,1601,37,0,37
252,1737,1085,34,0,34
182,2839,2615,37,0,37
10,3321,1467,35,0,35
-39,2423,1763,34,0,34
294,2484,841,33,0,33
372,3110,885,34,0,34
541,3920,211,38,0,38
55,2158,2713,37,0,37
561,15,1365,41,0,41
-77,1979,59,37,0,37
375,1867,1705,34,0,34
478,4183,1101,38,0,38
-60,2383,115,36,0,36
-14,1526,109,37,0,37
575,80,1768,41,0,41
-95,433,2427,41,0,41
-37,2205,478,35,0,35
7,2176,971,33,0,33
80,1967,884,34,0,34
530,1134,1526,36,0,36
492,3249,2374,37,0,37
349,464,1353,39,0,39
206,4071,458,38,0,38
532,587,440,39,0,39
256,1234,2704,39,0,39
268,4019,1033,38,0,38
541,3660,2673,39,0,39
-86,4874,1616,42,0,42
94,2258,1432,33,0,33
137,3504,1535,36,0,36
-79,4411,1340,39,0,39
390,1862,2452,36,0,36
358,132,1582,41,0,41
52,1946,1913,35,0,35
289,3402,1813,35,0,35
-11,1760,12,37,0,37
-22,2281,2253,36,0,36
520,1301,1058,36,0,36
296,1993,423,35,0,35
427,549,2380,40,0,40
551,2939,876,33,0,33
177,3881,2725,40,0,40
489,4928,1567,41,0,41
584,1804,27,37,0,37
156,1017,721,37,0,37
487,1564,1297,34,0,34
274,3764,718,37,0,37
-81,701,2263,40,0,40
205,4329,2532,41,0,41
219,-63,862,42,0,42
174,1598,1640,35,0,35
65,2410,857,33,0,33
-89,4634,1286,40,0,40
51,-94,2116,42,0,42
239,4117,1720,38,0,38
9,4676,2716,42,0,42
20,3965,576,38,0,38
324,4765,11,42,0,42
583,4649,1054,40,0,40
96,3031,1381,34,0,34
-76,1191,2288,38,0,38
57,599,1015,39,0,39
298,4899,725,41,0,41
501,1609,2648,38,0,38
549,3473,964,35,0,35
164,2821,2289,36,0,36
152,950,1140,37,0,37
220,4897,1099,41,0,41
454,200,404,41,0,41
261,353,1750,40,0,40
109,4741,54,42,0,42
565,4486,823,40,0,40
397,143,2178,41,0,41
-63,1836,488,35,0,35
349,1355,612,36,0,36
-41,3619,1703,36,0,36
89,3896,1034,37,0,37
296,955,1742,37,0,37
592,2638,2690,37,0,37
431,2676,190,35,0,35
300,-92,1282,42,0,42
424,2785,566,34,0,34
556,2914,2500,36,0,36
385,182,2638,42,0,42
560,3689,413,37,0,37
3,678,551,39,0,39
160,-75,671,42,0,42
410,3,1963,42,0,42
276,411,213,41,0,41
68,4128,1388,38,0,38
595,2793,4,36,0,36
569,524,1201,39,0,39
196,3186,381,36,0,36
135,3548,1805,36,0,36
-79,143,755,41,0,41
584,600,1945,39,0,39
210,753,2300,39,0,39
595,32,454,42,0,42
85,4523,24,41,0,41
-74,1191,807,37,0,37
327,1468,1517,35,0,35
582,3159,328,36,0,36
-82,2777,1647,34,0,34
79,433,1632,40,0,40
184,2672,1063,32,0,32
23,4359,856,39,0,39
549,1696,1617,34,0,34
326,1559,519,36,0,36
72,2520,2505,36,0,36
68,-93,1184,42,0,42
50,1409,780,36,0,36
279,1209,1054,36,0,36
-84,2888,2741,38,0,38
348,1735,855,34,0,34
305,4752,955,41,0,41
88,3610,812,36,0,36
327,399,1041,40,0,40
276,3606,2178,37,0,37
429,790,2360,39,0,39
56,1663,759,35,0,35
20,3536,578,36,0,36
527,4176,111,40,0,40
583,231,1357,40,0,40
544,2509,629,33,0,33
168,4648,537,41,0,41
599,2563,2141,34,0,34
456,385,2523,41,0,41
-87,1516,1839,36,0,36
166,274,594,41,0,41
507,2920,2026,34,0,34
552,4294,2356,40,0,40
314,3426,2546,38,0,38
-62,130,121,42,0,42
-3,1788,1138,34,0,34
340,2379,169,35,0,35
-55,4587,1931,41,0,41
190,2535,1957,34,0,34
417,3399,1354,35,0,35
185,1928,1310,33,0,33
166,-94,422,42,0,42
360,835,2716,40,0,40
347,2718,2454,36,0,36
259,3989,2143,38,0,38
25,1778,932,34,0,34
-22,2532,443,35,0,35
-49,2536,1280,33,0,33
163,115,27,42,0,42
-95,4312,360,40,0,40
419,1186,861,36,0,36
59,-9,2692,43,0,43
312,-61,2476,43,0,43
-50,1788,1400,34,0,34
374,2133,1356,32,0,32
363,2356,1018,32,0,32
453,1445,2466,37,0,37
273,-58,1505,42,0,42
591,3236,1019,34,0,34
203,2492,1581,32,0,32
356,1710,372,36,0,36
518,912,1237,37,0,37
-80,2634,1811,34,0,34
341,3853,38,39,0,39
412,3604,244,37,0,37
283,2455,2125,34,0,34
198,604,2559,40,0,40
380,4152,372,39,0,39
458,1837,1161,33,0,33
406,2663,1693,33,0,33
368,881,100,39,0,39
47,4080,2200,39,0,39
347,4537,2144,40,0,40
540,3349,14,37,0,37
334,4753,2035,41,0,41
473,3429,2743,38,0,38
155,1683,2640,38,0,38
24,3316,1232,35,0,35
492,4632,474,41,0,41
207,3164,4,37,0,37
514,3264,581,35,0,35
-74,4629,168,41,0,41
464,2051,1594,33,0,33
493,796,2055,39,0,39
180,2033,208,36,0,36
555,2386,270,35,0,35
592,537,102,40,0,40
581,4562,26,41,0,41
231,4486,167,41,0,41
-38,4212,2073,39,0,39
258,235,1392,40,0,40
279,4354,2728,41,0,41
-63,1772,1846,35,0,35
-4,2971,419,35,0,35
462,4558,279,41,0,41
246,2096,637,34,0,34
217,2814,1574,33,0,33
517,4860,2396,42,0,42
12,2960,2547,37,0,37
-55,3627,2461,38,0,38
572,1868,451,35,0,35
430,3172,1143,34,0,34
-95,3906,1593,38,0,38
505,641,1605,39,0,39
593,3638,1603,36,0,36
206,1288,2509,38,0,38
269,3293,624,35,0,35
486,4115,2623,40,0,40
291,4257,1448,39,0,39
164,2156,1204,32,0,32
286,4259,567,39,0,39
-96,1282,2737,39,0,39
95,3241,875,35,0,35
147,1034,2444,39,0,39
293,4286,1969,39,0,39
239,4687,1198,40,0,40
-66,1571,398,36,0,36
200,1508,185,37,0,37
489,4917,633,42,0,42
214,15,1075,41,0,41
247,495,1544,39,0,39
386,225,9,42,0,42
391,1161,63,38,0,38
121,3191,1776,35,0,35
566,112,2489,42,0,42
238,3904,1727,37,0,37
20,942,2002,38,0,38
243,3144,2284,36,0,36
69,2840,84,36,0,36
129,4076,73,39,0,39
43,2860,1131,33,0,33
553,2455,1210,31,0,31
3,3675,2262,38,0,38
205,4226,873,39,0,39
23,3875,1782,37,0,37
481,13,2720,43,0,43
404,3621,657,36,0,36
60,257,2346,41,0,41
202,613,271,40,0,40
566,358,5,41,0,41
148,362,1955,40,0,40
489,423,2132,40,0,40
132,4828,2057,42,0,42
145,3554,1023,36,0,36
559,2185,2039,34,0,34
86,1518,1395,35,0,35
112,1458,2313,37,0,37
190,2796,832,33,0,33
-64,2636,751,34,0,34
128,4464,1685,40,0,40
250,1161,1782,37,0,37
167,3682,526,37,0,37
177,1064,1464,37,0,37
321,673,1404,38,0,38
577,1996,1329,33,0,33
-76,1267,1586,36,0,36
411,4556,1459,40,0,40
596,3038,1654,34,0,34
498,4949,970,41,0,41
-44,3700,402,38,0,38
592,2121,983,32,0,32
583,1927,2457,36,0,36
406,3293,407,36,0,36
101,641,1995,39,0,39
527,1695,2335,36,0,36
-99,981,289,39,0,39
105,4365,2380,40,0,40
15,2213,1966,34,0,34
38,3417,44,38,0,38
324,2038,1850,34,0,34
40,751,151,40,0,40
213,1771,2095,35,0,35
551,2798,1078,32,0,32
-63,4827,1041,41,0,41
11,4694,928,41,0,41
18,4095,2515,40,0,40
155,2649,44,36,0,36
-44,3112,773,35,0,35
453,4209,681,39,0,39
332,1250,253,37,0,37
85,2434,2194,35,0,35
-70,313,869,40,0,40
-90,2009,1175,34,0,34
78,4863,358,42,0,42
-94,3867,1143,37,0,37
575,1558,982,35,0,35
403,2615,1049,32,0,32
464,3279,2597,37,0,37
131,766,1829,38,0,38
536,3960,1329,37,0,37
226,2241,2168,35,0,35
112,1154,1239,36,0,36
-9,1287,2526,38,0,38
-14,3001,1801,35,0,35
171,2320,674,33,0,33
241,294,2387,41,0,41
222,2266,898,33,0,33
598,1963,1995,34,0,34
35,2238,2466,36,0,36
468,2567,2570,36,0,36
187,4011,2401,39,0,39
358,2387,1768,33,0,33
-1,741,1396,38,0,38
400,40,58,42,0,42
599,2888,2312,36,0,36
566,2729,692,33,0,33
540,4712,2044,41,0,41
37,3332,503,36,0,36
477,999,226,38,0,38
519,2508,2299,35,0,35
580,4598,1286,40,0,40
-99,4108,2709,41,0,41
185,4301,139,40,0,40
-90,40,1152,41,0,41
-59,3056,598,35,0,35
385,1725,1960,35,0,35
590,4670,1843,41,0,41
95,2687,1893,34,0,34
591,3847,2194,38,0,38
101,4726,1560,41,0,41
387,1057,1042,37,0,37
532,2042,2672,37,0,37
132,1245,596,37,0,37
-50,3374,291,37,0,37
403,3558,1238,35,0,35
559,4429,446,40,0,40
267,2736,358,35,0,35
377,4885,2181,42,0,42
369,369,518,40,0,40
564,4004,488,38,0,38
577,3382,293,36,0,36
53,810,946,38,0,38
18,4257,4,40,0,40
326,4711,456,41,0,41
26,91,2239,42,0,42
76,1179,2205,38,0,38
394,4796,1646,41,0,41
597,280,840,40,0,40
412,2211,2284,35,0,35
394,2224,1890,34,0,34
576,72,1097,41,0,41
338,1684,1664,34,0,34
476,1473,1887,36,0,36
-93,2703,2159,35,0,35
38,3634,2719,39,0,39
414,3099,1675,34,0,34
125,3890,284,38,0,38
367,1792,2643,37,0,37
-93,4100,424,39,0,39
-78,2726,1458,33,0,33
-94,1209,60,38,0,38
-98,440,1167,40,0,40
446,1531,2299,37,0,37
-54,3369,1986,36,0,36
552,918,1605,37,0,37
93,3819,2496,39,0,39
-46,248,2043,41,0,41
583,750,2650,40,0,40
391,3575,1535,36,0,36
182,3018,1634,34,0,34
171,4477,1255,39,0,39
126,4783,1747,41,0,41
579,4475,1479,39,0,39
-89,662,2633,41,0,41
30,1646,1500,35,0,35
597,998,2108,38,0,38
-87,3790,191,38,0,38
528,2473,1526,32,0,32
140,2668,2132,35,0,35
120,651,2737,41,0,41
401,1898,99,36,0,36
431,3349,2050,36,0,36
-19,1280,1170,36,0,36
403,2211,352,35,0,35
563,4880,174,42,0,42
221,4661,2213,41,0,41
257,2757,183,35,0,35
15,3011,1227,34,0,34
-94,4916,1241,42,0,42
371,889,1906,38,1000,1038
68,1406,2733,39,0,39
380,1392,815,36,0,36
552,4916,1757,42,0,42
174,860,1345,38,0,38
477,3904,874,37,0,37
234,2165,2602,37,0,37
376,607,2748,41,0,41
187,3469,1220,35,0,35
597,2256,1304,31,0,31
59,3891,783,37,0,37
476,1521,641,35,0,35
-86,37,1501,41,0,41
19,891,510,38,120,158
572,475,2297,40,0,40
424,122,1326,41,0,41
407,1899,2023,35,0,35
392,4345,180,40,0,40
212,4933,1392,41,0,41
-41,1673,2714,38,0,38
581,1107,1708,37,0,37
312,4245,1044,38,0,38
291,3463,2059,36,0,36
-90,1515,2287,37,0,37
478,667,1072,38,0,38
467,1058,2214,38,0,38
-95,3404,2442,38,0,38
-59,2221,5,37,0,37
157,4484,2208,40,0,40
458,3760,159,38,0,38
155,3461,677,36,0,36
360,4687,2438,42,0,42
403,3043,1894,34,0,34
128,-27,1700,42,0,42
579,4479,2198,40,0,40
94,4406,400,40,0,40
400,1073,1862,37,0,37
442,2610,1922,34,0,34
284,882,2443,39,0,39
305,1563,1864,35,0,35
421,2475,445,34,0,34
265,3251,2526,37,0,37
