id,type_brick,type,rotation,x,y,z,layer,pallet,dist,start_to_verif,verif_to_dest,dest_to_end,total_time,total_time_calc,dist_linear
111,BASIC,1,180,1690,220,750,4,97,2496,6,16,14,36,41.414039149266785,2576.6257004074146
112,BASIC,1,180,1940,220,750,4,98,2625,8,15,14,37,41.97691580777012,2701.203435507959
113,BASIC,1,180,2190,220,750,4,99,2770,8,14,16,38,42.60960662546765,2842.358175881428
114,BASIC,1,180,2440,220,750,4,100,2929,5,15,15,35,43.30338483246012,2997.7491556165937
115,BASIC,1,180,2690,220,750,4,101,3100,10,16,26,52,44.049523658848244,3165.2803983217664
116,BASIC,1,180,2940,220,750,4,102,3281,8,18,28,54,44.83929633473276,3343.1272784624875
117,BASIC,1,180,3190,220,750,4,103,3471,7,17,15,39,45.66833947516401,3529.7308679274684
118,BASIC,1,180,3440,220,750,4,104,3668,8,17,16,41,46.527926310242734,3723.7749663479935
119,BASIC,1,180,3690,220,750,4,105,3872,8,16,33,57,47.418056839968926,3924.1559602034167
120,END,4,180,3940,220,750,4,5,4080,5,25,10,40,48.325640909493664,4129.951573565966
121,END,4,90,220,565,750,4,6,1887,10,10,17,37,38.75673771493714,1970.1840015592452
122,BASIC,1,90,220,815,750,4,106,1657,7,12,16,35,37.75315917652036,1732.5198411562276
123,BASIC,1,90,220,1065,750,4,107,1433,14,13,14,41,36.77576094780141,1498.8745778082969
124,BASIC,1,90,220,1315,750,4,108,1219,9,11,12,32,35.841996568578836,1271.4656896668505
125,BASIC,1,90,220,1565,750,4,109,1022,8,11,13,32,34.98240973350011,1054.3362841143237
128,BASIC,1,90,220,2315,750,4,112,684,11,8,14,33,33.507585620522406,588.748673034598
129,BASIC,1,90,220,2565,750,4,113,726,10,10,13,33,33.69084778840721,584.4869545165229
133,BASIC,1,90,220,3565,750,4,117,1417,11,7,21,39,36.70594678860719,1253.6446865041146
136,BASIC,1,90,220,4315,750,4,120,2105,17,6,9,32,39.707955633958264,1951.057405613684
