mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
38.301,3.395,31.852,44.476,0.031,0.022,12024.0,11965.0,1.0
38.487,3.451,31.94,44.974,0.035,0.023,9802.0,11261.0,1.01
38.875,3.443,32.603,45.468,0.033,0.023,10911.0,11332.0,1.01
39.52,3.437,32.896,45.858,0.054,0.022,4022.0,11144.0,1.01
40.232,3.443,33.795,46.794,0.034,0.023,10156.0,11630.0,1.01
41.088,3.412,34.354,47.16,0.071,0.022,2445.0,12043.0,1.01
41.98,3.436,35.511,48.385,0.034,0.022,10237.0,11991.0,1.01
43.073,3.455,36.684,49.433,0.055,0.023,3936.0,10427.0,1.01
44.144,3.441,37.757,50.647,0.155,0.022,497.0,11213.0,1.01
45.295,3.399,38.848,51.653,0.103,0.022,1075.0,11474.0,1.01
46.524,3.486,39.877,52.963,0.212,0.022,272.0,11579.0,1.01
47.723,3.469,41.132,54.126,0.202,0.023,294.0,10574.0,1.01
49.033,3.458,42.428,55.415,0.213,0.022,265.0,11491.0,1.01
50.332,3.52,43.587,56.844,0.197,0.023,319.0,10822.0,1.02
36.223,3.413,29.954,42.871,0.032,0.022,11198.0,11432.0,1.0
34.592,3.397,28.162,40.948,0.033,0.022,10425.0,10671.0,1.0
33.107,3.443,26.832,39.73,0.032,0.022,11499.0,11664.0,1.0
31.576,3.437,24.999,37.819,0.033,0.022,11148.0,11416.0,1.0
30.156,3.372,23.885,36.626,0.03,0.022,12350.0,11453.0,1.0
27.636,3.438,21.302,34.121,0.032,0.022,11545.0,11035.0,1.0
27.927,3.374,21.401,34.059,0.031,0.022,11971.0,11360.0,1.0
32.941,3.434,26.745,39.584,0.032,0.022,11195.0,12226.0,1.0
37.654,3.434,31.571,44.293,0.031,0.023,11884.0,11863.0,1.0
