mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
61.19,12.339,38.206,84.881,0.139,0.098,7840.0,7510.0,1.0
41.915,12.392,19.663,65.951,0.139,0.099,7994.0,8016.0,1.0
61.237,12.031,37.413,82.739,0.135,0.097,7958.0,7379.0,1.0
59.715,12.358,37.196,83.663,0.139,0.098,7934.0,7250.0,1.0
59.644,12.304,36.388,82.618,0.148,0.104,6921.0,7236.0,1.0
59.549,12.236,36.531,82.21,0.14,0.099,7629.0,7867.0,1.0
61.046,12.242,38.545,83.943,0.138,0.096,7880.0,7907.0,1.0
61.425,12.399,37.686,84.486,0.14,0.101,7869.0,7889.0,1.0
55.212,12.189,32.731,77.829,0.135,0.098,8184.0,7660.0,1.0
60.099,12.541,36.193,83.581,0.137,0.098,8359.0,8036.0,1.0
59.819,12.597,35.707,83.075,0.14,0.104,8110.0,7770.0,1.0
61.975,12.229,39.044,85.41,0.136,0.098,8050.0,7689.0,1.0
60.964,12.231,38.203,84.254,0.135,0.098,8150.0,7660.0,1.0
66.627,12.821,41.88,90.0,0.144,0.1,7909.0,7971.0,1.0
62.225,12.338,38.385,85.082,0.137,0.097,8145.0,7975.0,1.0
60.974,12.168,38.187,83.905,0.137,0.097,7840.0,7432.0,1.0
55.192,12.29,33.232,78.976,0.137,0.097,8066.0,7824.0,1.0
60.844,12.223,38.339,83.713,0.135,0.097,8148.0,7524.0,1.0
42.253,12.451,18.704,65.315,0.142,0.1,7688.0,7957.0,1.0
42.418,12.27,19.81,65.546,0.137,0.096,8035.0,7247.0,1.0
44.363,12.573,20.865,68.111,0.148,0.096,7261.0,7885.0,1.0
44.659,12.451,21.674,68.345,0.145,0.096,7386.0,7499.0,1.0
61.928,12.173,38.339,84.037,0.135,0.101,8130.0,7590.0,1.0
42.23,12.31,18.426,64.595,0.136,0.1,8158.0,7915.0,1.0
