id,type_brick,time_start,time_verif,time_dest,time_end,time_start_sec,time_verif_sec,time_dest_sec,time_end_sec,type,start_to_verif,verif_to_dest,dest_to_end,total_time
66,BASIC,14:21:13,14:21:19,14:21:33,14:21:59,51673,51679,51693,51719,1,6,14,26,46
67,BASIC,14:21:59,14:22:07,14:22:19,14:22:35,51719,51727,51739,51755,1,8,12,16,36
68,BASIC,14:22:35,14:22:45,14:22:56,14:23:11,51755,51765,51776,51791,1,10,11,15,36
70,CORNER,15:08:35,15:08:47,15:09:05,15:09:19,54515,54527,54545,54559,2,12,18,14,44
71,HALF,15:09:19,15:09:23,15:09:39,15:10:15,54559,54563,54579,54615,3,4,16,36,56
72,BASIC,15:10:15,15:10:23,15:10:37,15:10:51,54615,54623,54637,54651,1,8,14,14,36
73,BASIC,15:10:51,15:10:59,15:11:15,15:11:31,54651,54659,54675,54691,1,8,16,16,40
74,BASIC,15:11:31,15:11:39,15:11:53,15:12:07,54691,54699,54713,54727,1,8,14,14,36
75,BASIC,15:12:07,15:12:13,15:12:27,15:12:41,54727,54733,54747,54761,1,6,14,14,34
76,BASIC,15:12:41,15:12:45,15:12:59,15:13:35,54761,54765,54779,54815,1,4,14,36,54
77,BASIC,15:13:35,15:13:41,15:13:55,15:14:38,54815,54821,54835,54878,1,6,14,43,63
78,BASIC,15:14:38,15:14:45,15:14:57,15:15:11,54878,54885,54897,54911,1,7,12,14,33
79,BASIC,15:15:11,15:15:17,15:15:29,15:15:42,54911,54917,54929,54942,1,6,12,13,31
80,BASIC,15:15:42,15:15:47,15:15:59,15:16:12,54942,54947,54959,54972,1,5,12,13,30
81,BASIC,15:16:12,15:16:19,15:16:31,15:16:44,54972,54979,54991,55004,1,7,12,13,32
83,BASIC,15:17:11,15:17:19,15:17:29,15:17:41,55031,55039,55049,55061,1,8,10,12,30
86,BASIC,15:18:37,15:18:44,15:18:53,15:19:11,55117,55124,55133,55151,1,7,9,18,34
87,BASIC,15:19:11,15:19:17,15:19:27,15:19:51,55151,55157,55167,55191,1,6,10,24,40
88,BASIC,15:19:51,15:19:59,15:20:09,15:20:55,55191,55199,55209,55255,1,8,10,46,64
89,END,15:21:45,15:21:55,15:22:09,15:22:39,55305,55315,55329,55359,4,10,14,30,54
90,BASIC,15:22:39,15:22:51,15:23:07,15:23:25,55359,55371,55387,55405,1,12,16,18,46
91,BASIC,15:23:25,15:23:35,15:23:49,15:24:05,55405,55415,55429,55445,1,10,14,16,40
92,BASIC,15:24:05,15:24:11,15:24:27,15:24:42,55445,55451,55467,55482,1,6,16,15,37
93,BASIC,15:24:42,15:24:49,15:25:03,15:25:19,55482,55489,55503,55519,1,7,14,16,37
94,BASIC,15:25:19,15:25:29,15:25:43,15:25:59,55519,55529,55543,55559,1,10,14,16,40
95,BASIC,15:25:59,15:26:07,15:26:23,15:26:39,55559,55567,55583,55599,1,8,16,16,40
96,BASIC,15:26:39,15:26:47,15:27:03,15:27:21,55599,55607,55623,55641,1,8,16,18,42
97,BASIC,15:27:21,15:27:27,15:27:43,15:28:01,55641,55647,55663,55681,1,6,16,18,40
98,BASIC,15:28:01,15:28:07,15:28:29,15:28:43,55681,55687,55709,55723,1,6,22,14,42
99,BASIC,15:28:43,15:28:50,15:29:05,15:29:21,55723,55730,55745,55761,1,7,15,16,38
100,BASIC,15:29:21,15:29:29,15:29:45,15:30:01,55761,55769,55785,55801,1,8,16,16,40
101,BASIC,15:30:01,15:30:08,15:30:25,15:30:39,55801,55808,55825,55839,1,7,17,14,38
102,BASIC,15:30:39,15:30:45,15:31:03,15:31:34,55839,55845,55863,55894,1,6,18,31,55
103,HALF,15:31:34,15:31:39,15:32:01,15:32:09,55894,55899,55921,55929,3,5,22,8,35
104,CORNER,15:35:25,15:35:33,15:35:47,15:36:03,56125,56133,56147,56163,2,8,14,16,38
105,HALF,15:36:03,15:36:21,15:36:39,15:36:53,56163,56181,56199,56213,3,18,18,14,50
106,BASIC,15:36:53,15:37:03,15:37:15,15:37:29,56213,56223,56235,56249,1,10,12,14,36
107,BASIC,15:37:29,15:37:35,15:37:51,15:38:01,56249,56255,56271,56281,1,6,16,10,32
108,BASIC,15:38:01,15:38:09,15:38:23,15:38:37,56281,56289,56303,56317,1,8,14,14,36
109,BASIC,15:38:37,15:38:45,15:38:59,15:39:13,56317,56325,56339,56353,1,8,14,14,36
110,BASIC,15:39:13,15:39:21,15:39:35,15:39:49,56353,56361,56375,56389,1,8,14,14,36
111,BASIC,15:39:49,15:39:57,15:40:11,15:40:25,56389,56397,56411,56425,1,8,14,14,36
112,BASIC,15:40:25,15:40:33,15:40:49,15:41:03,56425,56433,56449,56463,1,8,16,14,38
113,BASIC,15:41:03,15:41:11,15:41:25,15:41:41,56463,56471,56485,56501,1,8,14,16,38
114,BASIC,15:41:41,15:41:47,15:42:01,15:42:17,56501,56507,56521,56537,1,6,14,16,36
115,BASIC,15:42:17,15:42:25,15:42:41,15:43:08,56537,56545,56561,56588,1,8,16,27,51
116,BASIC,15:43:08,15:43:17,15:43:33,15:44:03,56588,56597,56613,56643,1,9,16,30,55
117,BASIC,15:44:03,15:44:11,15:44:27,15:44:43,56643,56651,56667,56683,1,8,16,16,40
118,BASIC,15:44:43,15:44:53,15:45:09,15:45:25,56683,56693,56709,56725,1,10,16,16,42
119,BASIC,15:45:25,15:45:33,15:45:49,15:46:22,56725,56733,56749,56782,1,8,16,33,57
120,END,15:46:22,15:46:29,15:46:53,15:47:03,56782,56789,56813,56823,4,7,24,10,41
121,END,15:49:23,15:49:31,15:49:43,15:49:59,56963,56971,56983,56999,4,8,12,16,36
122,BASIC,15:49:59,15:50:05,15:50:19,15:50:34,56999,57005,57019,57034,1,6,14,15,35
123,BASIC,15:50:34,15:50:49,15:51:01,15:51:15,57034,57049,57061,57075,1,15,12,14,41
124,BASIC,15:51:15,15:51:22,15:51:35,15:51:47,57075,57082,57095,57107,1,7,13,12,32
125,BASIC,15:51:47,15:51:55,15:52:07,15:52:20,57107,57115,57127,57140,1,8,12,13,33
126,BASIC,15:52:20,15:52:28,15:52:39,15:52:53,57140,57148,57159,57173,1,8,11,14,33
127,BASIC,15:52:53,15:53:02,15:53:13,15:53:24,57173,57182,57193,57204,1,9,11,11,31
128,BASIC,15:53:24,15:53:33,15:53:43,15:53:56,57204,57213,57223,57236,1,9,10,13,32
129,BASIC,15:53:56,15:54:07,15:54:15,15:54:28,57236,57247,57255,57268,1,11,8,13,32
131,BASIC,15:54:56,15:55:07,15:55:15,15:55:26,57296,57307,57315,57326,1,11,8,11,30
132,BASIC,15:55:26,15:55:38,15:55:45,15:55:57,57326,57338,57345,57357,1,12,7,12,31
133,BASIC,15:55:57,15:56:07,15:56:15,15:56:34,57357,57367,57375,57394,1,10,8,19,37
136,BASIC,15:57:29,15:57:46,15:57:53,15:58:03,57449,57466,57473,57483,1,17,7,10,34
