id,type_brick,time_start,time_verif,time_dest,time_end,time_start_sec,time_verif_sec,time_dest_sec,time_end_sec,type,start_to_verif,verif_to_dest,dest_to_end,total_time,total_time_binned,brick_basic,brick_corner,brick_end,brick_half
93,BASIC,15:24:42,15:24:49,15:25:03,15:25:19,55482,55489,55503,55519,1,7,14,16,37,Very short,True,False,False,False
94,BASIC,15:25:19,15:25:29,15:25:43,15:25:59,55519,55529,55543,55559,1,10,14,16,40,Normal,True,False,False,False
95,BASIC,15:25:59,15:26:07,15:26:23,15:26:39,55559,55567,55583,55599,1,8,16,16,40,Normal,True,False,False,False
96,BASIC,15:26:39,15:26:47,15:27:03,15:27:21,55599,55607,55623,55641,1,8,16,18,42,Long,True,False,False,False
97,BASIC,15:27:21,15:27:27,15:27:43,15:28:01,55641,55647,55663,55681,1,6,16,18,40,Normal,True,False,False,False
98,BASIC,15:28:01,15:28:07,15:28:29,15:28:43,55681,55687,55709,55723,1,6,22,14,42,Long,True,False,False,False
99,BASIC,15:28:43,15:28:50,15:29:05,15:29:21,55723,55730,55745,55761,1,7,15,16,38,Very short,True,False,False,False
100,BASIC,15:29:21,15:29:29,15:29:45,15:30:01,55761,55769,55785,55801,1,8,16,16,40,Normal,True,False,False,False
101,BASIC,15:30:01,15:30:08,15:30:25,15:30:39,55801,55808,55825,55839,1,7,17,14,38,Very short,True,False,False,False
103,HALF,15:31:34,15:31:39,15:32:01,15:32:09,55894,55899,55921,55929,3,5,22,8,35,Extremely short,False,False,False,True
104,CORNER,15:35:25,15:35:33,15:35:47,15:36:03,56125,56133,56147,56163,2,8,14,16,38,Very short,False,True,False,False
106,BASIC,15:36:53,15:37:03,15:37:15,15:37:29,56213,56223,56235,56249,1,10,12,14,36,Extremely short,True,False,False,False
108,BASIC,15:38:01,15:38:09,15:38:23,15:38:37,56281,56289,56303,56317,1,8,14,14,36,Extremely short,True,False,False,False
109,BASIC,15:38:37,15:38:45,15:38:59,15:39:13,56317,56325,56339,56353,1,8,14,14,36,Extremely short,True,False,False,False
110,BASIC,15:39:13,15:39:21,15:39:35,15:39:49,56353,56361,56375,56389,1,8,14,14,36,Extremely short,True,False,False,False
111,BASIC,15:39:49,15:39:57,15:40:11,15:40:25,56389,56397,56411,56425,1,8,14,14,36,Extremely short,True,False,False,False
112,BASIC,15:40:25,15:40:33,15:40:49,15:41:03,56425,56433,56449,56463,1,8,16,14,38,Very short,True,False,False,False
113,BASIC,15:41:03,15:41:11,15:41:25,15:41:41,56463,56471,56485,56501,1,8,14,16,38,Very short,True,False,False,False
114,BASIC,15:41:41,15:41:47,15:42:01,15:42:17,56501,56507,56521,56537,1,6,14,16,36,Extremely short,True,False,False,False
117,BASIC,15:44:03,15:44:11,15:44:27,15:44:43,56643,56651,56667,56683,1,8,16,16,40,Normal,True,False,False,False
118,BASIC,15:44:43,15:44:53,15:45:09,15:45:25,56683,56693,56709,56725,1,10,16,16,42,Long,True,False,False,False
120,END,15:46:22,15:46:29,15:46:53,15:47:03,56782,56789,56813,56823,4,7,24,10,41,Normal,False,False,True,False
121,END,15:49:23,15:49:31,15:49:43,15:49:59,56963,56971,56983,56999,4,8,12,16,36,Extremely short,False,False,True,False
122,BASIC,15:49:59,15:50:05,15:50:19,15:50:34,56999,57005,57019,57034,1,6,14,15,35,Extremely short,True,False,False,False
123,BASIC,15:50:34,15:50:49,15:51:01,15:51:15,57034,57049,57061,57075,1,15,12,14,41,Normal,True,False,False,False
133,BASIC,15:55:57,15:56:07,15:56:15,15:56:34,57357,57367,57375,57394,1,10,8,19,37,Very short,True,False,False,False
