ID;TYPE;START;CAL;WALL;END
104;CORNER;15:35:25;15:35:33;15:35:47;15:36:03
105;HALF;15:36:03;15:36:21;15:36:39;15:36:53
106;BASIC;15:36:53;15:37:03;15:37:15;15:37:29
107;BASIC;15:37:29;15:37:35;15:37:51;15:38:01
108;BASIC;15:38:01;15:38:09;15:38:23;15:38:37
109;BASIC;15:38:37;15:38:45;15:38:59;15:39:13
110;BASIC;15:39:13;15:39:21;15:39:35;15:39:49
111;BASIC;15:39:49;15:39:57;15:40:11;15:40:25
112;BASIC;15:40:25;15:40:33;15:40:49;15:41:03
113;BASIC;15:41:03;15:41:11;15:41:25;15:41:41
114;BASIC;15:41:41;15:41:47;15:42:01;15:42:17
115;BASIC;15:42:17;15:42:25;15:42:41;15:43:08
116;BASIC;15:43:08;15:43:17;15:43:33;15:44:03
117;BASIC;15:44:03;15:44:11;15:44:27;15:44:43
118;BASIC;15:44:43;15:44:53;15:45:09;15:45:25
119;BASIC;15:45:25;15:45:33;15:45:49;15:46:22
120;END;15:46:22;15:46:29;15:46:53;15:47:03
121;END;15:49:23;15:49:31;15:49:43;15:49:59
122;BASIC;15:49:59;15:50:05;15:50:19;15:50:34
123;BASIC;15:50:34;15:50:49;15:51:01;15:51:15
124;BASIC;15:51:15;15:51:22;15:51:35;15:51:47
125;BASIC;15:51:47;15:51:55;15:52:07;15:52:20
126;BASIC;15:52:20;15:52:28;15:52:39;15:52:53
127;BASIC;15:52:53;15:53:02;15:53:13;15:53:24
128;BASIC;15:53:24;15:53:33;15:53:43;15:53:56
129;BASIC;15:53:56;15:54:07;15:54:15;15:54:28
130;BASIC;15:54:28;15:54:37;15:54:45;15:54:56
131;BASIC;15:54:56;15:55:07;15:55:15;15:55:26
132;BASIC;15:55:26;15:55:38;15:55:45;15:55:57
133;BASIC;15:55:57;15:56:07;15:56:15;15:56:34
134;BASIC;15:56:34;15:56:43;15:56:51;15:57:02
135;BASIC;15:57:02;15:57:15;15:57:23;15:57:29
136;BASIC;15:57:29;15:57:46;15:57:53;15:58:03
